iterations,batch,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_10k_batches(kJ)
60000,1,100,2583.32,100,5,11.61296316,,,,,,
60000,1,150,2616.66,150,5,17.19749604,,,,,,
60000,1,200,2643.16,200,5,22.70010139,,,,,,
60000,1,500,2811.61,500,5,53.35021571,,,,,,
60000,1,1000,3078.61,1000,5,97.44657492,10000,35,34447,1.205645,0.000120565,1.205645
60000,1,2000,3602.29,2000,5,166.5607155,10000,35,39433,1.380155,0.000138016,1.380155
60000,1,5000,5159.73,5000,5,290.7128861,10000,35.76923077,58998,2.110313077,0.000211031,2.110313077
60000,1,10000,7825.37,10000,5,383.3684541,10000,35.88888889,83480,2.996004444,0.0002996,2.996004444
60000,1,20000,13025.66,20000,5,460.6292503,5000,35.93333333,68433,2.4590258,0.000491805,4.9180516
60000,1,30000,18274.5,30000,5,492.4895346,2000,35.8,44528,1.5941024,0.000797051,7.970512
Max,,,,,,492.4895346,,,,,,
