iterations,batch,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S)
60000,1,100,3388.8217,100,5,8.852634531
60000,1,150,3359.4972,150,5,13.39486159
60000,1,200,3391.6215,200,5,17.69065328
60000,1,500,3558.0606,500,5,42.15779799
60000,1,1000,4067.233,1000,5,73.76021979
60000,1,2000,4723.8146,2000,5,127.0159925
60000,1,5000,6901.7686,5000,5,217.3355971
60000,1,10000,10068.0978,10000,5,297.9708838
60000,1,20000,18175.928,20000,5,330.1069414
60000,1,30000,25644.79,30000,5,350.9484773
Max,,,,,,350.9484773
