iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_1000_batches(kJ)
60018,1,100x100,17594.08,10000,17,579.9143803,5000,75.51882723,96131,7.259700381,0.00145194,1.451940076
60018,1,200x100,30025.55,20000,17,679.6251859,5000,76.41673252,150109,11.4708393,0.002294168,2.29416786
60018,1,200x200,54807.98,40000,17,744.6404702,5000,73.65900293,273832,20.17019209,0.004034038,4.034038418
60018,1,300x150,60601.85,45000,17,757.6298413,2500,70.8503491,151849,10.75855466,0.004303422,4.303421864
60018,1,300x300,114886.05,90000,17,799.2923423,1000,65.15276679,115465,7.522864217,0.007522864,7.522864217
60018,1,400x200,106546.3,80000,17,766.0939892,500,65.51164834,53836,3.5268851,0.00705377,7.053770201
60018,1,400x300,156074.3,120000,17,784.4771369,500,62.02415596,78612,4.875842948,0.009751686,9.751685897
60018,1,400x400,221014.15,160000,17,738.6357842,500,58.50720167,111108,6.500618163,0.013001236,13.00123633
60018,1,  400x350,  183895.5,  140000,17,776.760932,,,,,,
60018,1,400x375,202453.55,150000,17,755.955625,,,,,,
60018,1,  400x425,  239599.7,  170000,17,723.924195,,,,,,
60018,1,  300x350,  132971.85,  105000,17,805.675261,,,,,,
60018,1,300x375,142022.55,112500,17,808.212675,,,,,,
60018,1,300x400,151056.05,120000,17,810.53834,,,,,,
60018,1,300x425,160143.35,127500,17,812.328548,,,,,,
60018,1,300x450,169173.05,135000,17,814.203622,,,,,,
60018,1,300x475,181346,142500,17,801.746964,,,,,,
60018,1,300x500,194907.65,150000,17,785.222643,,,,,,
60018,1,300x525,208481.95,157500,17,770.801477,,,,,,
60018,1,300x550,222053.35,165000,17,758.153345,,,,,,
60018,1,300x575,235609.65,172500,17,747.010086,,,,,,
Max,,,,,,814.203622,,,,,,
