iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_1000_batches(kJ)
60102,1,100x100,9485.13,10000,6,380.1866711,5000,58.47087643,47500,2.77736663,0.000555473,0.555473326
60102,1,200x100,12015.56,20000,6,600.2416866,5000,70.11557987,60042,4.209879647,0.000841976,0.841975929
60102,1,200x200,18196.74,40000,6,792.6958345,5000,83.30207365,90590,7.546334852,0.001509267,1.50926697
60102,1,300x150,20395.05,45000,6,795.6607118,2500,79.630573,51237,4.080031669,0.001632013,1.632012668
60102,1,300x300,35548.35,90000,6,912.9841469,1000,85.40813394,36045,3.078536188,0.003078536,3.078536188
60102,1,400x200,33950.35,80000,6,849.7396934,500,83.0149497,17671,1.466957176,0.002933914,2.933914352
60102,1,400x300,47707.1,120000,6,907.0649861,500,85.72896415,24529,2.102845762,0.004205692,4.205691523
60102,1,400x400,61489.45,160000,6,938.338528,500,87.78839871,31431,2.75927716,0.005518554,5.51855432
60102,1,400x350,54592.45,  140000,6,924.77403,,,,,,
60102,1,400x375,58045.65,150000,6,931.883785,,,,,,
60102,1,400x425,64932.05,  170000,6,944.126052,,,,,,
60102,1,300x350,40529.65,  105000,6,934.236047,,,,,,
60102,1,300x375,43046.8,112500,6,942.435907,,,,,,
60102,1,300x400,45581.4,120000,6,949.366189,,,,,,
60102,1,300x425,48122.45,127500,6,955.438262,,,,,,
60102,1,300x450,50632.3,135000,6,961.493355,,,,,,
60102,1,300x475,53125.6,142500,6,967.277734,,,,,,
60102,1,300x500,55628.8,150000,6,972.370427,,,,,,
60102,1,300x525,58163.45,157500,6,976.496236,,,,,,
60102,1,300x550,60673.1,165000,6,980.681389,,,,,,
60102,1,300x575,63177.45,172500,6,984.616663,,,,,,
Max,,,,,,984.616663,,,,,,
