iterations,batch_size,grid,runtime(us),num_elements,throughput(MPts/s),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_100_batches(kJ)
1800,1,30x30x30,65837.1,27000,738.1856127,10,91.93875,1384,0.12724323,0.012724323,1.2724323
1800,1,30x30x50,99390,45000,814.9713251,10,143.9286364,1816,0.261374404,0.02613744,2.613744036
1800,1,50x50x16,94900,40000,758.6933614,10,141.5390476,1629,0.230567109,0.023056711,2.305671086
1800,1,50x50x30,131154.5,75000,1029.320382,10,173.5045833,2038,0.353602341,0.035360234,3.536023408
1800,1,50x50x50,185203,125000,1214.883128,10,199.0778125,2686,0.534723004,0.0534723,5.347230044
1800,1,75x75x75,947956,421875,801.0656613,10,224.9411111,11217,2.523164443,0.252316444,25.23164443
1800,1,100x100x100,2088925,1000000,861.6872315,10,236.8496094,23398,5.54180716,0.554180716,55.4180716
1800,1,125x125x125,4182610,1953125,840.5337815,10,248.1585855,46219,11.46964166,1.146964166,114.6964166
1800,1,150x150x150,6951925,3375000,873.8586794,10,256.3806363,75853,19.4472404,1.94472404,194.472404
1800,1,175x175x175,11232400,5359375,858.8436131,5,260.1747724,61271,15.94116848,3.188233696,318.8233696
1800,1,200x200x200,16211350,8000000,888.266554,3,258.0281261,52896,13.64865576,4.549551919,454.9551919
1800,1,225x225x225,24032100,11390625,853.1557791,2,255.8913228,52220,13.36264487,6.681322437,668.1322437
1800,1,250x250x250,31967750,15625000,879.7929163,2,256.9112242,69370,17.82193162,8.910965812,891.0965812
Max,,,,,1214.883128,,,,,,
