Iterations,batch_size,grid,runtime(us),num_elements,throughput(MPts/s),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_100_batches(kJ)
1800,1,30x30x30,374787.3,27000,129.6735508,100,36.3,44005,1.5973815,0.015973815,1.5973815
1800,1,30x30x50,446031.3,45000,181.6016051,100,36.90909091,48955,1.806884545,0.018068845,1.806884545
1800,1,50x50x16,626328.8,40000,114.9555952,100,38.53333333,69001,2.658838533,0.026588385,2.658838533
1800,1,50x50x30,794190.6,75000,169.9843841,50,36.6,43955,1.608753,0.03217506,3.217506
1800,1,50x50x50,1064434,125000,211.3799446,20,36,29502,1.062072,0.0531036,5.31036
1800,1,75x75x75,2814174,421875,269.8393916,10,37,34515,1.277055,0.1277055,12.77055
1800,1,100x100x100,6097570,1000000,295.1995631,10,37.8,69007,2.6084646,0.26084646,26.084646
1800,1,125x125x125,10669800,1953125,329.4930552,5,37.69230769,59023,2.224713077,0.444942615,44.49426154
1800,1,150x150x150,16713300,3375000,363.4829746,5,38.73684211,88459,3.426622316,0.685324463,68.53244632
1800,1,175x175x175,26364900,5359375,365.8984104,5,38.65517241,137536,5.316477793,1.063295559,106.3295559
1800,1,200x200x200,37563050,8000000,383.3554517,3,38.12,117939,4.49583468,1.49861156,149.861156
1800,1,225x225x225,53743800,11390625,381.4974937,2,38.16,117520,4.4845632,2.2422816,224.22816
1800,1,250x250x250,67577500,15625000,416.1888202,2,38.96774194,147500,5.747741935,2.873870968,287.3870968
Max,,,,,416.1888202,,,,,,
